owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000001,,,,,,,,,,VP,,PA,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000002,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000003,,,,,,,,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000004,Chappeler Dorftheater,??,??,??,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000005,Compagnia Siparios,Aarau,Aarau,TI,,FFSI,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000006,I Sognattori,???,???,TI,,FFSI,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000007,Bernische Trachenvereinigung,?Biglen?,?Biglen?,BE,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000008,Laienbühne Hinterthurgau,Aadorf,Aadorf,TG,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000009,Aarauer Laienspielgruppe der ökonomischen Erwachsenenbildung Aarau,Aarau,Aarau (nicht ZSV) (Sammelcouvert),AG,,-0,na,?,,,,1 R,1983
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000010,Aarauer Vokalisten,Aarau,Aarau (nicht ZSV) (Sammelcouvert),AG,,-0,na,?-2013,,,,1 R,2004 / 2005
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000011,Aargauer Theaterleute,Aarau,Aarau,AG,,-0,,(noch existent?),,,,3 R,1989
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000012,Aargauische Mundartbühne,Aarau,Aarau,AG,,-0,na,1941-1943,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000013,Aargauer Vokalisten,Aarau,Aarau (nicht ZSV),AG,,-0,a,2013-,Aarauer Vokalisten,,,,
