owl:Class,dct:identifier,schema:name,ex:Art,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:Rep,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000001,Repertorientheater,,,,,,,,,,,,VP,,PA,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000002,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),,,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000003,,,,,,,,,,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000004,,,,,,,,,,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000005,Kultur- und Gemeindezentrum Aadorf,G,VOK,Aadorf,Aadorf,TG,,(KTV),a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000006,Aagauisches Naturmuseum,?,x,Aarau (Sammelcouvert),Aarau,AG,,-0,a,,?,,,,1 R,1997,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000007,Altes Pumpwerk Brühlmatten,G,x,Aarau,Aarau (Sammelcouvert),AG,,-0,na,,?,,,,1 R,2002,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000008,Fabrikpalast Aarau (Fabrik-Palast),G,STP,Aarau,Aarau,AG,,Unima,a,,2000-,,,,1 C,2000-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000009,Innerstadtbühne Aarau (IBA) (später: Theater Tuchlaube),P G,x,Aarau,Aarau,AG,,x,na,,1965-1980/81,,,,1 S,1965-1982 / 1987 / 1997-(1999),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000010,Jugendhaus Flösserplatz,?,x,Aarau,Aarau (Sammelcouvert),AG,,x,a,,?,,,,1 R,-1996,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000011,KiFF (Kultur in der Futterfabrik),G,RKZ,Aarau,Aarau,AG,,x,a,,1990-,,,,1 C,1990-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000012,Kultur & Kongresshaus Aarau (Spielstätte von: Theatergemeinde Aarau),G (kein aktiver Veranstalter),GGH,Aarau,Aarau,AG,,Inthega,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000013,Kunsthaus Aarau,-0,x,Aarau,Aarau,AG,,x,a,,?,,,,1 C,1989 / 1992 / 2006,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000014,Mittlere Bühne / Oxer (inkl. Alte Reithalle),G,"RKT, TFS",Aarau,Aarau,AG,,x,a,,2006-,,,,1 C,2006-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000015,Naturama,G,,Aarau,Aarau (Sammelcouvert),AG,,x,a,,?,,,,1 R,2005,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000016,"Schaachen Aarau, Schaachen-Festival, Sommernachtsfestspiele, Mehrzweckhalle)",-0,x,Aarau,Aarau,AG,,x,na,,,,,,1 C,"1954-1957, 1983 / 1986",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000017,Theater Tuchlaube,P G,"RKT, TFS",Aarau,Aarau,AG,,"assitej, KTV       Premio",a,,1985-,Innerstadtbühne Aarau,,,2 S,1981 / 1983-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000018,Schloss-Chäller,G,RKT,Aesch BL,Aesch BL,BL,,,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000019,LaMarotte (Kulturkeller) (Kellertheater LaMarotte),G,RKT,Affoltern a/A,Affoltern a/A,ZH,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000020,Théâtre du Moulin-Neuf (später: Théâtre Waouw),P G,RKT,Aigle,Aigle,VD,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000021,Théâtre Waouw (früher: Théâtre du Moulin-Neuf),G,RKT,Aigle,Aigle,VD,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000022,Salone Olimpia,G,RKZ,Airolo,Airolo,TI,,x,a,,,,,,,,
