owl:Class,dct:identifier,schema:name,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000001,,,,,,,,,,,,VP,,PA,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000002,,,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000003,,,,,,,,,,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000004,"""Krönung"" (Kleinkunstfestival) <Produktion: Gong, Aadorf und Kulturbau Winterthur, Casino Theater Burgdorf, Agentur für ansprechenden Unfug>",FES VOK,"Aadorf, Burgdorf, Winterthur",Burgdorf: Casino Theater Burgdorf,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000005,Klang-November (Klangnovember),FES,Aarau,Aarau (Sammelvoucert),AG,,,,a,(noch existent?),,,,2 R,2004
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000006,Kunstexpander <interdisziplinäres Festival>,FES,Aarau,Aarau (Sammelvoucert),AG,,,,na,2005 / 2006 / 2008 / 2010,,,,1 R,2005
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000007,Jugend Theater Festival Schweiz,FES STK,Aarau,Aarau,AG,,,,a,,,,,,2015-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000008,"Schachen Aarau (Schachen-Festival) (inkl. Sommernachtsfestspiele, Mehrzweckhalle)",-0,Aarau,Aarau,AG,,,,na,,,,,,1954-1957 / 1983 / 1986
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000009,Schultheatertreffen (Oberstufenschule) Aarau,FES ATV,Aarau,Aarau (Sammelvoucert),AG,,,,na,?,,,,4 R,1994 / 2003 / 2009
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000010,Theatertage Aarau,FES ATV,Aarau,Aarau (ZSV),AG,,,,a,,Schweizer Volkstheatertage,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000011,Appenzeller Figurentheater-Festival,FES STP,Appenzell,Appenzell,AI,,Unima,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000012,Appenzeller Kabarett-Tage,-0,Appenzell,Kabarett: Appenzell,AI,,,,na,,,,,,
