owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:organization,ex:Details,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000001,,,,,,,,,,,VP,,PA,
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000002,,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000003,,,,,,,,,,,,,,
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000004,Aargauische Ballett-Vereinigung,Aarau,,AG,,F,"Förderung künstlerischer Tanz, ganze Schweiz",,,,,,,
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000005,Guilde des spectateurs de la région lausannoise (früher Guilde du Théâtre),Ballens,,VD,,?,?,a,(noch existent?),,,,,
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000006,Basler Ballett-Gilde,Basel,Basel,BS,,F,Theater Basel: Ballett,a,,,,,1 C,1982 / 1989 / 2003 / 2008
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000007,Basler Orchester-Gesellschaft (Stiftung Basler Orchester) (BOG),Basel,Basel,BS,,F und produzierend (Werkaufträge),,a,,,,,1 C,1988-(2006)
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000008,Regionale Interessengemeinschaft Theater Basel,Basel,,BS,,F,Theater Basel und weitere Theater in der Region,a,,,,,,
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000009,Theaterbüro beider Basel (Theater-Bühne beider Basel),Basel,Basel,BS,,F,Kleintheater und Künstler Basel,na,1997-?,,,,1 C,1997-(2005)
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000010,Theaterverein Basel,Basel,,BS,,B F,Theater Basel,a,,,,,,
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000011,Unser Theater (Verein),Basel,1.04 (BL) und Basel: Theater Basel: Grunds.,BL,,F,Theater Basel,a,,,,,,
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000012,Voyeure (Theaterclub),Basel,,BS,,,,a,,,,,,
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000013,Associazione Amici del Teatro Sociale di Bellinzona,Bellinzona,,TI,,B F,Teatro Sociale,a,,,,,,
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000014,Berner Theaterverein (BTHV),Bern,Bern: Theaterverein Bern,BE,,B,Konzert Theater Bern und weitere nach Möglichkeit,a,1923-,,,,1 C,1923-
spa:DatenbankUrsFoerderverein,STS-DatenbankUrsFoerderverein00000015,Effinger Fauteuil-Club,Bern,,BE,,F,Theater an der Effingerstrasse,a,,,,,,
