owl:Class,dct:identifier,schema:name,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Details,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000001,,,,,,,,,,,,VP,,PA,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000002,,,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000003,,,,,,,,,,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000004,Freilichtspiele im römischen Theater,,Augst BL,Augst BL,BL,,,,na,1936-1946,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000005,Festival dOpéra Avenches (LOpèra dAvenches)(Festival Avenches Opéra),GFL,Avenches,Avenches,VD,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000006,Sommer-Festspiele Baden (Freilichtbühne Kurtheater Baden),GFL,Baden,Baden,AG,,,,a,(noch existent?),,,,1 C,1985-1988 / 1990 /1992 / 1995
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000007,Freilichtaufführungen St. Jakob an der Birs,,Basel,Basel,BS,,,,na,,,,,1 C,1962-1968
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000008,Freilichtspiel 1943: Friedmattpark,,Basel,Basel: Freilichtspiele (Sammelcouvert),BS,,,,na,1943,,,,2 R,1943
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000009,Freilichtspiel 1952: Bischofshof,,Basel,Basel: Freilichtspiele (Sammelcouvert),BS,,,,na,1952,,,,2 R,1952
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000010,Freilichtspiel 1954: Bischofshof,,Basel,Basel: Freilichtspiele (Sammelcouvert),BS,,,,na,1954,,,,2 R,1954
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000011,Freilichtspiel 1955: Batterie,,Basel,Basel: Freilichtspiele (Sammelcouvert),BS,,,,na,1955,,,,4 R,1955
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000012,Freilichtspiel 1963: Letziturm,,Basel,Basel: Freilichtspiele (Sammelcouvert),BS,,,,na,1963,,,,1 R,1963
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000013,Freilichtspiel 1991: Botta-Zelt auf Bäumlihofareal,,Basel,Basel: Freilichtspiele (Sammelcouvert),BS,,,,na,1991,,,,1 R,1991
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000014,Freilichtspiel 2008: Hafenbecken Kleinhüningen,,Basel,Basel: Freilichtspiele (Sammelcouvert),BS,,,,na,2008,,,,1 R,2008
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000015,Freilichtspiel im Hof des blauen Hauses,,Basel,Basel,BS,,,,na,,,,,1 C,1968
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000016,Freilichtspiel im Hof des Pharma-Museums (IG-Regio-Festspiele),,Basel,Basel,BS,,,,na,,,,,1 C,1989 / 1991
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000017,Freilichtspiel im Hof Lindenberg (Basler Ballade),,Basel,Basel,BS,,,,na,,,,,1 C,1992
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000018,Freilichtspiele Münsterkreuzgang,,Basel,Basel,BS,,,,na,,,,,1 C,1932 / 1975
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000019,Freilichtspiele Münsterplatz,,Basel,Basel,BS,,,,a,(noch existent?),,,,1 C,1945-(1996)
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000020,Freilichttheater Kannenfeldpark,,Basel,Basel: Freilichttheater: Freilichttheater Kannenfeldpark,BS,,,,a,(noch existent?),,,,1 C,1955-(1997)
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000021,Freilichttheater Rosenfeldpark (Basler Sommer-Festspiele),,Basel,Basel,BS,,,,a,(noch existent?),,,,1 C,1953 / 1969 / 1993 / 1995
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000022,Sommertheater Brüglingen Botanischer Garten,,Basel,Basel: Freilichttheater: Freilichttheater Kannenfeldpark,BS,,,,a,(noch existent?),,,,1 C,1982-(2009)
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000023,Les Nuits de Milandre (Les Nuits d'été de Milandre),,Boncourt,Boncourt,JU,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000024,Freilichttheater im Amthof,,Bremgarten,Bremgarten,AG,,,,na,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000025,Sommertheater Brüglingen,,Brüglingen,Brüglingen,BL,,,,na,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000026,Schlossfestspiele Werdenberg (Schloss-Festspiele Werdenberg),,Buchs,Buchs,SG,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000027,Schlossoper Haldenstein (Schloss Oper Haldenstein),GFL,Chur,Chur,GR,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000028,"Haldensteiner Sommer, Haldensteiner Herbst",,Haldenstein,Chur: In Situ,GR,,,,na,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000029,Gartenoper Langenthal,,Langenthal,Langenthal,BE,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000030,Freilichtbühne Dietschiberg (Dietschiberg-Freilichtbühne),,Luzern,Luzern-Dietschiberg,LU,,,,na,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000031,Luzerner Freilichtspiele (Freilichtspiele Luzern),GFL,Luzern,Luzern,LU,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000032,Festival La Perla,,Pfäffikon,Pfäffikon,ZH,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000033,Origen Festival Cultural,GFL,Riom (Savognin),Riom,GR,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000034,Munot Opernspiele,,Schaffhausen,Schaffhausen,SH,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000035,"""No e Wili"" (Freilichtspiel)",,Schaffhausen,Schaffhausen,SH,,,,a,2016,,,,,2016
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000036,Schaffhauser Theaterspektakel (Shpektakel),,Schaffhausen,Schaffhausen,SH,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000037,Oper Schenkenberg,GFL,Schinznach Dorf,Schinznach Dorf,AG,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000038,SeelisbergRütli Festival,,Seelisberg,Seelisberg,UR,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000039,Sommer Oper Selzach (Sommeroper Selzach),GFL,Selzach,Selzach,SO,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000040,Thunerseespiele,GFL,Thun,Thun,BE,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000041,Freilichtspiele Zürcher Oberland,,Uster,Uster,ZH,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000042,Walensee-Bühne (inkl. TSW Musical AG),GFL,Walenstadt,Walenstadt,SG,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000043,Klosterspiele Wettingen,GFL,Wettingen,Wettingen (ZSV),AG,,,,a,,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000044,"Verdi Openair Wil  (Openair Classic Wil, Verein)",,Wil SG,Wil SG,SG,,,,a,2001-,,,,,
spa:DatenbankUrsFreilichtspiele,STS-DatenbankUrsFreilichtspiele00000045,Sommertheater der Präsidialabteilung der Stadt Zürich,,Zürich,Zürich,ZH,,,,na,,,,,,
