owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:comment,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000001,,,,,,,,,,VP,,PA,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000002,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000003,,,,,,,,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000004,Cocteau-Kabinett,Basel,Basel,BS,,,na,-2005,,,,1 C,1988-(2002)
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000005,Paul Sacher Stiftung,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000006,"Schweizerische Theatersammlung (Collection Suisse du Théâtre, Collezione Svizzera del teatro, Colleziun svizra dal teater)",Bern,,BE,,,a,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000007,Musée Suisse de la Marionnette / Schweizer Figurentheater-Museum,Fribourg,,FR,,,a,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000008,"Schweizeerisches Cabaret-, Chanson- und Pantomimen-Archiv",Gwatt,Gwatt,BE,,,a,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000009,"Schweizer Tanzarchiv (Collection Suisse de la Danse, Archivio Svizzero della danza, swiss dance collection)","Lausanne, Züich",Institutionen,,,,,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000010,Centre Dürrenmatt,Neuchâtel,Neuchâtel,NE,,,a,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000011,Maison Mainou (Résidence suisse d'écriture dramatique et de musique pour la scène) (Fondation Johnny Aubert Tournier JAT),Vandoeuvres,,GE,,,a,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000012,Kunsgewerbemuseum Zürich (später: Museum für Gestaltung),Zürich,Zürich: Kunstgewerbemuseum / Kunstgewerbeschule (Schule für Gestaltung),ZH,,,na,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000013,Museum für Gestaltung,Zürich,Zürich,ZH,,,a,,Kunstgewerbemuseum Zürich,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000014,,,,,,,,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000015,,,,,,,,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000016,Archiv Darstellende Kunst (Teil des Archivs der Akademie der Künste),Berlin,Institutionen,,,Berlin,a,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000017,Deutsches Theatermuseum,München,Institutionen,,,Deutschland,a,,,,,,
spa:DatenbankUrsMuseen,STS-DatenbankUrsMuseen00000018,Österreichisches Theatermuseum,Wien,Institutionen,,,Österreich,a,,,,,,
