owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000001,,,,,,,,,,VP,,PA,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000002,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000003,,,,,,,,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000004,Gong (Kulturveranstalter) <Spielstätte: Kultur- und Gemeindezentrum Aadorf>,Aadorf,Aadorf,TG,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000005,Forum Schlossplatz,Aarau,Aarau (Sammelcouvert),AG,,-0,a,1994-,,,,(2014)-,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000006,Gong (Verein),Aarau,Aarau,AG,,,a,,,,,1 C,1993 / 2001 / 2002 / 2003
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000007,HelvetikKulturKollektiv,Aarau,Aarau,AG,,,na,1998?-1998?,,,,1 C,1998
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000008,"Szenaario (Verein, Träger des Theaters Tuchlaube)",Aarau,Aarau,AG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000009,szenart,Aarau,Aarau (auch ZSV),AG,,,a,,,,,1 C,2004-
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000010,Theaterfunken Aarau,Aarau,CH:Einz.Reg.: Aargau,AG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000011,Theatergemeinde Aarau <Spielstätte: Kultur & Kongresshaus Aarau>,Aarau,Aarau,AG,,Inthega,a,,,,,2 C,1942-1957 / 1968 / 1972 / 1976 / 1981-
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000012,"Kultur in Affoltern <verschiedene Spielstätten, u.a LaMarotte>",Affoltern a/A,Affoltern a/A,ZH,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000013,Musikbühne Uri (Forum Musikbühne Altdorf),Altdorf,Altdorf,UR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000014,Amriswiler Konzerte,Amriswil,Amriswil,TG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000015,Oberthurgauer Festspiele,Amriswil,Sulgen,TG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000016,Winter Theater Amriswil <Spielstätte: Schwertsaal>,Amriswil,Amriswil,TG,,,a,2015-,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000017,kultur forum andermatt gotthard,Andermatt,Andermatt,UR,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000018,Kulturgruppe Appenzell <verschiedene Spielstätten>,Appenzell,Appenzell,AI,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000019,Die Landenberg-Gesellschaft Arbon (Kultur läbt),Arbon,Arbon,SG,,KTV,,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000020,Giullari di Gulliver (Associazione Giullari di Gulliver),Arzo (Pregassona),Arzo,TI,,TASI,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000021,Commission culturelle d'Avenches,Avenches,Avenches: Diverse,VD,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000022,cabaret & meh,Baden,Baden,AG,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000023,Gibellina Arts,Baden,Baden,AG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000024,IKuZeBa (Ikuzeba),Baden,Baden,AG,,,na,,,,, 1 C,1988
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000025,city-art Künstler-agentur (city-art die künstler-crew),Baden,Ennetbaden,AG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000026,Theaterstiftung der Region Baden-Wettingen  (Theaterstiftung Region Baden-Wettingen) <Trägerschaft Kurtheater Baden>,Baden,Baden: Kurtheater,AG,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000027,Kulturpunkt Balsthal,Balsthal,Balsthal,SO,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000028,Liechtenstein Musical Company (LMC),Balzers,Balzers,FL,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000029,Act Entertainment,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000030,Basel tanzt,Basel,Basel,BS,,,a,1987-,,,,1 C,1987-(2011)
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000031,buseke-lüdi produktion,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000032,Cabaret Bizarre,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000033,education projekte region basel (Stadt Basel Kultur- und Präsidialdepartement),Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000034,CMS-Fest (CMS-Ateliers) <Christoph-Merian-Stiftung>,Basel,Basel,BS,,,na,,,,,1 C,"1986, 1987-(2001)"
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000035,Danzeria,Basel,Basel,BS,,,a,,,,,1 C,"1989, 1995"
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000036,Elsass-Freunde (Kulturverein),Basel,Basel,BS,,,a,?,,,,1 C,1989
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000037,Gare des enfants,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000038,Gesellschaft des Basler Marionetten-Theaters,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000039,Hort Productions,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000040,iwb Filter 4 culture affairs (filter4culture affairs) <Spielstätte: Filter 4),Basel,Basel: Filter 4,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000041,Kulturbüro Basel (IG Kultur Basel),Basel,Basel: IG Kultur,BS,,,a,,,,,1 C,(1991)-(1992)
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000042,Kulturist GMbH Management,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000043,Les Muséiques (Stiftung),Basel,Basel,BS,,,na,2001-2013,,,,1 C,2004-(2005)
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000044,Lumpenbrüder Productions,Basel,Basel,BS,,,a,,,,,1 C,2012
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000045,NeoKultur GmbH,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000046,Noble Horse Empire AG korr. NT Nobel Horse,Knonau,Basel,BS,,,a,,,,,1 C,2001
