owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:fruehereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000001,,,,,,,,,,VP,,PA,
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000002,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000003,,,,,,,,,,,,,
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000004,Tanzforum Aarau,Aarau,Aarau (Sammelcouvert),AG,,,a,?,,,,1 R,2001
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000005,Tanzpalast Aarau,Aarau,Aarau (Sammelcouvert),AG,,,a,?,,,,1 R,2005
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000006,SAMTS Musical & Theatre School,Adliswil,,ZH,,,a,,,,,,
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000007,Théâtre du Comsi (Ateliers de Théâtre du Comsi),Aubonne und La Chaux sur Cossonay,Aubonne,VD,,,a,,,,,,
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000008,tdc dance school,Baar,,ZG,,,a,,,,,,
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000009,Balletschule Theater Basel,Basel,Basel,BS,,,a,,,,,,
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000010,Hochschule für Gestaltung und Kunst (HGK) (FHNW),Basel,Basel,BS,,,a,,,,,1 C,2007
spa:DatenbankUrsSchulen,STS-DatenbankUrsSchulen00000011,"Musik-Akademie Basel (Hochschule für Musik Basel, Schola Cantorum Basilensis) (1. Abteilung: Konservatorium, Studio für Musik und Theater: A Werkstatt Oper, B Werkstatt Musik-Theater)",Basel,Basel,BS,,,a,,,,,1 C und 1 C   1 C und 1 C (separate Ablage 4 Kuverts),1938-1945 / 1956 und 2003 / 2006 / 2014 und 1967 / 1970 / 1981-(2004) und 1982-
