owl:Class,dct:identifier,schema:name,schema:performer,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000001,,,,,,,,,,,,VP,,PA,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000002,,,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000003,,,,,,,,,,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000004,Compagnie Hertzblut,"Schuran, Uwe + Smart, Graham",Aadorf?,Aadorf,TG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000005,Tanztheater Divertimento (Tanztheaterhaus Divertimento),"Puccio, Carmen + Ledermann, Anita",Aadorf,Aadorf,TG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000006,3B kulturelle produktionen,"Basler, Nadine + Blum, Adi + Brem, Martha + Morger, Susanne",Aarau,Aarau,AG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000007,Aargauer Kammerorchester (AKO),-0,Aarau,Aarau,AG,,,,a,2003-,,,,1 C,2003-(2007)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000008,Companya Amazonya,?,Aarau,Aarau (Sammelcouvert),AG,,,,na,?,,,,1 R,2003
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000009,Aargauer Operette (Aaarauer Operette),-0,Aarau,Aarau ,AG,,,,na,?,,,,1 C,1992
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000010,argovia philharmonic (Aargauer Symphonie Orchester),-0,Aarau,Aarau: Aargauer Symphonie-Orchester,AG,,,,a,?,,,,1 C,1994 / 1999 / 2009
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000011,Attacca,?,Aarau,Aarau,AG,,,,na,1993?,,,,1 C,1993
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000012,Bläsersolisten Aargau,-0,Aarau,Aarau (Sammelcouvert),AG,,,,a,1995-,,,,1 R,2004
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000013,Bumerang (Kabarett),"Kamm, Mariann + Wespi, Markus + Halder, Ulrich +Wartmann, Thomas",Aarau,STS Kabarett: Aarau,AG,,,,na,1966-1967,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000014,Duo Bildhübsch,"François, Joséphine + Ender, Laura",Aarau ,Aarau ,AG,,,,a,2011-,,,,1 C,2011-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000015,Gee Gee Express,"Walker, Anna + Egloff, Jonas + Prisi, Livio + Oes, Patrick + Achinger, Sophie",Aarau?,Aarau,AG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000016,HelvetikKulturKollektiv,,Aarau,Aarau,AG,,,,na,1998?,,,,1 C,1998
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000017,Kammerensemble Modulamur,?,Aarau?,Aarau,AG,,,,na,?,,,,2 R,1982 / 1984
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000018,Kunsthaus Aarau,-0,Aarau,Aarau,AG,,,,a,?,,,,1 C,1989 / 1992  / 2006
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000019,Mignon Dancers (inkl. Balletschule Mignon) <Profitruppe nicht mehr existent>,-0,Aarau,Aarau,AG,,,,a,1982-,,,,1 C,1982-1997
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000020,Musiktheater Aargau,-0,Aarau,Aarau,AG,,,,na,1990-?,,,,1 C,1990-(1995)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000021,Nones Theater,?,Aarau?,Aarau,AG,,,,na,1986-?,,,,1 C,1986-(1987)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000022,Pasta del Amore,"Maurer, Bruno + Gysi, Christian",Aarau,Aarau,AG,,,,na,1998-2010,,,,1 C,1999-(2009)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000023,Wahrhaftige Produktionen,"Ender, Laura u.a.",Aarau,Aarau,AG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000024,First Steps/AG,"Kelting, Peter-Jakob",Aarau,Aarau: Tuchlaube,AG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000025,Nachtau,"Nielsen, Jens + Gaub, Katarina",Aarau,Aarau,ZH,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000026,North by Northwest Kulturprojekte,"Kelting, Peter-Jakob",Aarau,"auch unter: Bern: Schlachthaus, bereinigen",AG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000027,Reich und Schön,"Reich, Sabina + Bürgisser, Andreas",Aarau?,Aarau,AG,,,,a,2016-,,,,1 R,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000028,Roikkuva (Compagnie),"Muntwyler, Andreas + Tikka, Ulla + Stäger, Lukas + Durrer, Michael",Aarau,Aarau,AG,,,,a,2011-,,,,2 R,2012
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000029,"Salto & Mortale (salto&mortae) (Theater salto&mortale, Theater Salto & Mortale)","Bisaz, Clo + Truttmann, Thomy + Meyer, Adrian",Beinwil (früher Aarau?),"Bisaz, Clo",AG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000030,Stadttheater Aarau: Theatergruppe Senges-Faust im Saalbau),-0,Aarau,Aarau,AG,,,,na,1942-1943,,,,1 C,1942-1943
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000031,The Lady Musicke,"Meier, Christine M. + Tanner, Christian",Aarau?,Aarau,AG,,,,a,?,,,,1 R,1999
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000032,Theater am Rosegarte,"Hostettler, Thomas + Madörin, Charlotte + Christen, Regina u.a.",Aarau,Zofingen (früher auch: Pfaffnau),AG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000033,Theater Marie (inkl. Junge Marie),-0,Aarau,"Aarau, vor 1989 Luzern",AG,,,r,a,?,"Theaterladen Aarau, TheaterUnser, Theater M.A.R.I.A. Auch: PyjaM.A.R.I.A, RottaM.A.R.I.A. Zürich, M.A.R.I.A.unser Aarau",,,2 S,(1988)-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000034,Theaterladen Aarau (später: Theater Marie),,Aarau,Aarau,AG,,,,na,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000035,TheaterUnser (später: Theater Marie),,Erlinsbach,Aarau oder Erlinsbach,AG,,,,na,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000036,youTOO Junges Theater Tuchlaube <später nur noch Junges Theater Tuchlaube unter Theater Tuchlaube>,-0,Aarau,Aarau (Sammelcouvert),AG,,,,na,2007?-2008?,,,,1 R,2007
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000037,Zapfenzieher (Cabaret),-0,Aarau,Kabarett: Aarau ,AG,,,,a,,,,,,1957
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000038,Wir & Co. (Wir&Co.),"Papst, Anna + Welter, Eva + Süster-Andersen, Anna",Aarau,Aarau,AG,,,,a,,,,,1 R,(2016)-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000039,"Die Boten (christliche Bühne, Tourneetheater)",-0,Aadorf,Aadorf,TG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000040,Ensemble klappVox,"Hunger, Agnes + Balmer, Regula",Adligenswil,Adligenswil,LU,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000041,Bruno+Bruno Produktionen (Bruno und Bruno),"Hollenstein, Bruno + Tiefenauer, Brundo",Adliswil,Kabarett: Adliswil,ZH,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000042,statttheater,"Gärtner, Beat + Schmidlin, Brigitte + Krejci, Kamil",Adliswil,Adliswil,ZH,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000043,Schmirinskis,"Schmidlin, Stefan + Rindlisbacher, René",Affoltern a/A>,Kabarett: Affoltern a/A ,ZH,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000044,Compagnia Teatrale Flavio Sala,"Sala, Flavio + Nervi, Rosy + Rezzonico, Leonia + Zanchi, Sandra + Casati, Fabrizio "" Rottoli, John + Valsangiacomo, Orio + Franscella, Beppe + Bertazzi, Moreno",Agarone,"Sala, Flavio",TI,,,,a,2014-,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000045,D’Hubachers,-0,Allschwil,Allschwil,BL,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000046,Schublädli,?,Allschwil,Allschwil,BK,,,,na,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000047,Selbdritt Theater,"Buess, Mirjam + Härtner, Thomas + Glazmann, Paul",Allschwil,Allschwil,BL,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000048,Mummenschanz,"Bosshard, Andres + Schürch, Beni + Frassetto, Floriana",Altstätten,Zürich,SG,,KTV,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000049,Diva Minerva,-0,Appenzell,Appenzell,AI,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000050,Theaterposttheater,?,Appenzell,Appenzell,AI,,,,na,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000051,Duo Full House,"Camus, Henry + Schmutz, Gaby",Ascona (früher: Zürich),Zürich,TI,,KTV,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000052,Obviam Est (Compagnia Obviam Est),"Bartelet, Martin M.",Ascona,Ascona (provisor. Ablage),TI,,TASI,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000053,Die Freischwimmer,"Camardese, Belinda + De Nadai, Aldo + Barth, Marianne + Müller, Marco",Au,Au,ZH,,,,a,(noch existent?),,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000054,Théâtre des Songes,"Bujard, Séverine",Aubonne,Aubonne,VD,,,,na,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000055,"Compagnie T2+ (Compagnie t deux plus, Cietdeutxplus)","Egger, Christian + Carrard, Anne",Avry-Devant-Pont,Avry-Devant-Pont,FR,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000056,Compagnie Trükk (Cie. trükk),"Sommer, Martina + Talàt, Eveline",Baar,Baar,ZG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000057,Dirty Hands,-0,Baar,Baar,ZG,,KTV,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000058,Edelmais (Duo),"Rindlisbacher, René + Furrer, Sven",Baar,"Rindlisbacher, René",ZG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000059,Theaterimpuls,"Masüger, Giannina + Körner, Roland + Weidmann, Markus + Schmidlin, Brigitte + Wanzenried, Peter u.a.",Baar,Baar,ZG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000060,taff Theaterproduktion (taff-theaterproduktion),"Hofmmann, Ute",Bad Ragaz,Bad Ragaz,SG,,KTV,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000061,Cabaret Rüeblisaft,"Bruggmann, Alfred + Furrer, Vera",Baden,Kabarett: Baden,AG,,,,na,1953-1976,,,,,(1954)-(1973)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000062,Canto battuto,"Nievergelt, Eva + Brunner, Christoph",Baden ,Baden ,AG,,,,a,2005-,,,,1 C,2005-(2009)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000063,Claque (Die Claque) (später: forum claque),"Keller, Anton + Lang, Reinhard + Grädel, Jean u.a.",Baden,Baden ,AG,,,r,na,1968-1992,,,,8 S,1969-(2005)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000064,cloc-o-toc,?,Baden,Baden,AG,,,,na,?,,,,1 C,1987 / 1991
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000065,Comikaze,?,Baden,Baden,AG,,,,na,?,,,,1 C,1992
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000066,Compagnie DOU (Kompanie DOU),"Buhli, Regina",Baden,Baden ,AG,,,,a, 2004- (noch existent?),,,,1 C,2004-(2010)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000067,FitzlaffHaenni (FitziHaenni) ,"Fitzlaff, Roland + Haenni, Ueli",Baden,Kabarett: Baden ,AG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000068,Flamencos en Route,"Merki, Brigitta Luisa",Baden,Baden,AG,,,r,a,1984-,,,,1 S,1985-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000069,Giocolieri Accozzati,?,Baden,Baden,AG,,,,na,?,,,,1 C,1986 / 1993
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000070,Gnom Gruppe für Neue Musik Baden,"Meier, Philipp + Gallio, Christoph",Baden,Baden,AG,,,,a,,,,,1 C,1999 / 2004
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000071,Hofmann & Sonnenwald,"Hofmann, Simona + Sonnenwald, Annina",Baden,"Sonnenwald, Annina",AG,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000072,Jerry Dental Kollekdoof,"Blöchlinger, Urs + Baumann, Christoph",Baden,Baden,AG,,,,na,1977-1980,,,,1 C,1977-1980
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000073,Kabel Musikvermittlung für junge Ohren,"Heer, Regina + Stibi, Regula",Zürich,Baden,ZH,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000074,LiberTango (Verein),-0,Baden,Baden,AG,,,,,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000075,Mad Donnas,"Marx, Minnie + Moresco, Patrizia",?,Baden,AG,,,,na,?,,,,1 C,1992
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000076,"Nateschwara Dance Company (Tanzstudio Nateshwara, Nateshwara Akademie)","Rao, Vijaya + Tönz-Rao, Anton + Rao, Sharmila + Weber, Rosmarie",Baden,Baden,AG,,,,a,,,,,1 C,1984-1986 / 1999
