owl:Class,dct:identifier,schema:name,schema:performer,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000001,,,,,,,,,,,,VP,,PA,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000002,,,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000003,,,,,,,,,,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000004,Das Theater-Pack,"Trüb, Hansueli","Aarau (früher: Kölliken, Oberentfelden, St. Gallen)",Aarau,AG,,assitej Unima,,a,,,,,1 C,1981-
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000005,Marionettenbühne Landolt-Roser & Co.,"Landolt-Roser, M. + Landolt-Roser, T.",Aarau,Aarau (Sammelcouvert),AG,,Unima,,a,?,,,,1 R,2004
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000006,Figurentheater Hansueli Trüb,"Trüb, Hansueli",Abtwil,"Abtwil, auch unter: Trüb, Hansueli",SG,,,,na,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000007,Märchenbühne Silberfaden,"Vogel, Claudia",Aesch,Aesch,?,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000008,Kasperlibühne Zipfelmütze,"Perin, Chantal",Affoltern a.A.,Affoltern a.A.,ZH,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000009,Gillionnette (Figurentheater),Aarau,Amriswil,Amriswil,TG,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000010,Figurentheater Claudine Kölbener,"Kölbener, Claudine",Appenzell,"Kölbener, Claudine",AI,,Unima,,a,,,,,,
