owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,ex:Typ,schema:addressRegion,schema:relatedLink,schema:Organization,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000001,,,,,,,,,,,VP,,PA,,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000002,,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000003,,,,,,,,,,,,,,,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000004,Fahraway,Arlesheim,Zirkus: Arlesheim,,BL,,,a,,,,,,,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000005,Minicirc,Arlesheim,Zirkus: Arlesheim,Kleinzirkus,BL,,KTV,a,?,,,,1 C,(1998)-,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000006,Robiano (Baselbieter Jugendzirkus),Arlesheim,Zirkus: Kinderzirkus: Arlesheim,Kinderzirkus,BL,,,a,1987-,,,,1 C,(1989)-,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000007,Jugendcircus Biber (Jugendzircus Biber),Arni,Zirkus: Diverse A-Z: Arni,Kinderzirkus,BE,,,a,,,,,2 R,"(2003),(2009)",
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000008,Circo Furioso ,Baden,Zirkus: Baden,Winterzirkus,AG,,,na,?,,,,1 C,(1989)-(1990),
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000009,Circus Luna,Baden,noch nicht in STS,,AG,,,a,,,,,,,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000010,Arlecchino (Zirkus),Basel,Zirkus: Basel: Diverse,Kinderzirkus,BS,,,na,?,,,,1 R,2002,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000011,Basler Weihnachtszirkus,Basel,Zirkus: Basel: Diverse,Weihnachtszirkus,BS,,,na,?,,,,3 R,1999,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000012,Circus Go (Gasser Olympia),Basel,Zirkus: Basel,Zirkus,BS,,,a,?,Circus Gasser Olympia (1966-2005) (Derendingen),,,1 C,(2006)-,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000013,Circus Maus ,Basel,Zirkus: Basel,Kleinzirkus,BS,,,na,?,,,,1 C,(1979)-(2002),
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000014,Cirqu'enflex,Basel,"Basel (nicht unter Zirkus), auch Basel: Les Reines Prochaines",,,,,a,1994-,,,,1 C,1994-(2011),
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000015,Jugendzirkus Basilisk (Jugend Circus Basilisk),Basel,Zirkus: Kinderzirkus: Basel,Kinderzirkus,BS,,,a,1969/1970-,,,,1 C,1969-,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000016,Les Gorgonzolas,Basel,Zirkus: Basel: Diverse,,BS,,,na,?,,,,1 R,1975,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000017,Papperlapapp (Zirkus),Basel,Zirkus: Basel: Diverse,Kinderzirkus,BS,,,na,?,,,,1 R,2002,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000018,Quartiercircus Bruderholz,Basel,Zirkus: Basel,Kinderzirkus,BS,,,a,1978-,,,,,(1988)-,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000019,"Rägeboge (Kinderzirkus, Zirkusschule)",Basel,Zirkus: Kinderzirkus: Basel,Kinderzirkus,BS,,,a,?,,,,1 C,(1994)-,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000020,Schlotterzirkus (Schlottercirkus),Basel,Basel: Zirkus,Zirkus,BS,,,na,1991-1992,,,,1 C,1991-(?),
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000021,Weihnachtszirkus (Weihnachts-Zirkus),Basel,Zirkus: Basel: Diverse,Weihnachtszirkus,BS,,,na,1993-1994,,,,4 R,1993-(1994),
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000022,Circus Fliegenpilz  (Zirkus Fliegenpilz),Basel,Basel: Zirkus: Zirkus Fliegenpilz,Kleinzirkus,BS,,,a,1981-,,,,1 C,1981-(1990) (2006)-,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000023,Show Circus,Basel,Basel,?,BS,,,na,,,,,1 C,"1999, 2002",
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000024,Gletscherzirkus Belalp,Belalp,Zirkus: Diverse A-Z: Belalp,Zirkus,VS,,,na,,,,,1 R,2009,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000025,Bombonelli,Bern,Zirkus: Kinderzirkus: Bern,Kinderzirkus,BE,,,a,1980-,,,,1 C,1980-,
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000026,Weihnachtszirkus,Bern,Zirkus: Bern,Weihnachtszirkus,BE,,,na,?,,,,1 C,(1997)-(1999),
spa:DatenbankUrsZirkus,STS-DatenbankUrsZirkus00000027,"Zirkus Wunderplunder (Kinderzirkus Wunderplunder, Theaterzirkus Wunderplunder)",Bern/Burgdorf,Zirkus: Kinderzirkus: Bern,Kinderzirkus,BE,,assitej,a,1984-,,,,1 C,(1986)-,
