owl:Class,dct:identifier,spa:accessionNumber,ex:SignaturAlt_CabaretArchiv,schema:name,schema:genre,schema:author,eclap:director,schema:performer,schema:productionCompany,ex:Jahr,ex:Referenz,schema:duration,schema:comment,ex:Anzahl,ex:Lieferant,ex:Schlagwort,ex:Art
spa:Audio,STS-Audio00000001,CD 001,,L'Histoire du Soldat. (70e anniversaire de la Création 1988). Mit 16-seitigem Beiheft F/E/D.,"Op, Sm","Strawinsky, Igor; Ramuz, Charles Ferdinand",ML: Dominique Debart,Georges Descrieres (Récitant) Jean-Pierre Wallez (Violon); Ensemble Instrumental de Basse Normandie,Forlane,1988,Forlane UCD 16580,,ok: cs:08/90 (Mit Auberjonois-Cover aus der STS),1,G Verlag,,
spa:Audio,STS-Audio00000002,CD 002,,Fête des Vignerons. Vevey 1955. Compositeur: Carlo Hemmerling,"TBB, Mu, CF, CH","Hemmerling, Carlo; Géo H. Blanc",ML: Carlo Hemmerling,"Paul Sandoz, Charles Jauquier, Roger Cochard, Choeur, La musique de la Garde Républicaine",Vevey: Fête des Vignerons 1955,1987 (1955),Philips 832 318-2,,,1,Club Evasion,,kommerziell
spa:Audio,STS-Audio00000003,CD 003,,Fête des Vignerons. Vevey 1977 (Vol. 1). Compositeur: Jean Balissat; Texte: Henri Debluë,"TBB, Mu, CF, CH","Balissat, Jean; Henri Debluë","ML: Jean Balissat; CL: André Charlet, Jean-Jacques Rapin, Adrien Pasche","Jean-Luc Wicht, Orchestre Symphonique de la Fête des Vignerons (Orchestre de Chambre de Lausanne et de l'Union Suisse des Artistes musiciens), Choeurs de la Fête des Vignerons, Choeur d'enfants, Musique de la Landwehr, Fribourg",Vevey: Fête des Vignerons 1977,1987 (1977),Philips 832 000-2,,,1,Club Evasion,,kommerziell
spa:Audio,STS-Audio00000004,CD 004,,"Seldwyla '91. Erstes Schweizer Freilicht-Folklore-Musical auf der Rigi von Hans Gmür nach Motiven von Gottfried Keller. Musik von Alex Eugster, Carlo Brunner, Willi Brameshuber","Mu, CH","Gmür, Hans",R: Inigo Gallo,"Leo Roos, Sepp Trütsch, Maja Brunner, Ueli Beck, Daniela Thalmann, Walter Andreas Müller, Hansjörg Bahl, Sabina Kuhn, Nicolai Mylanek, Daniel Bill u.a.",Schwingplatz Rigi-Staffel; P: 7.7.1991,1991,Activ Records 5-2756,,,1,CS/ExLibris,,kommerziell
spa:Audio,STS-Audio00000005,CD 005,,Tierra! Tierra! [Multimedia] Eine allegorische Blitzoper in zwölf Bildern,Op,"Zimmermann, Robert; Peter Bräker",0,0,0,1991,0,0:13:12,Beilage zu Buch (STS-Sig. 8.2: Zimm 1000),1,Haupt,,Beilage zu Publ.
spa:Audio,STS-Audio00000006,CD 006,,"John Cage: Concert/ Diary/ Gespräch. 1. Concert For Piano And Orchestra. 1957-58. 2. Diary: How To Improve The World (You Will Only Make Matters Worse). Continued 1970-71 (Auszug). 3. John Cage und Klaus Schöning im Gespräch (Aufgenommen nach der Produktion des Diary für die achtteilige WERGO-Edition, Zürich 24.6.1991)","I, D","Cage, John",(1.) ML: Merce Cunningham,"(1.) David Tudor, Anahid Ajemian, Allen Martin, Isadore Cohen, Burton Fish, William Gromko, Joan Brockway, Jesse Taiko, Andrew Lolya, Albert Kaufman, Sy Schwartzberg, Melvil Broiles, Frank Rehak, Dan Butterfield (2.) John Cage",,1994,Wergo WER 3022-2,0:52:44,"Beilage zu Neue Zeitschrift für Musik, Heft 5/94 (STS-Sig. Z3: 12)",1,Z-Beilage,,Beilage zu Publ.
spa:Audio,STS-Audio00000007,CD 007,,"Lerke von Saalfeld im Gespräch mit György Ligeti (Stuttgart, 11.6.1992)","D, 00","Ligeti, György",0,00 (György Ligeti),,1993,Wergo WER 3021-2,1:06:50,"Beilage zu Neue Zeitschrift für Musik, Heft 1/93 (STS-Sig. Z3: 12)",1,Z-Beilage,,Beilage zu Publ.
spa:Audio,STS-Audio00000008,CD 008/1,,Kulissengespräche [I]. Das Beste aus der Opernwerkstatt. Weltstars erzählen Anekdoten. Hrsg. von den Freunden der Wiener Staatsoper.,"D, Op",00/Div,"Gestaltung: Peter Dusek, René Michler; Interviewer: Volkmar Parschalk, Georg Springer, Peter Dusek; Übersetzung: Rita Koch, Christiane Springer","Sena Jurinac, Ljuba Welitsch, Erich Kunz, Otto Edelmann, Leonie Rysanek, Franco Corelli, Birgit Nilsson, Hans Hotter, Renata Tebaldi, Luciano Pavarotti, Walter Berry, Placido Domingo, Heinz Zednik, Eva Marton, Eberhard Waechter, José Carreras u.a.",(A-Wien: Staatsoper; ORF),1993 (1977-1991),J&V Edition Wien/ Polygram Austria 443 165-2,1:15:36,"Beilage zu gleichnamigem Buch (STS-Sig. 13.1: 348(1)): CD mit Gesprächsfragmenten aus der ""Opernwerkstatt und verstümmelten Musikbeispielen (Th. B. in NZZ, 18./19.12.1993, S. 24)",1,G Kachler,,Beilage zu Publ.
spa:Audio,STS-Audio00000009,CD 008/2,,Kulissengespräche II. Das Beste aus der Opernwerkstatt,"D, Op",00/Div,,Baltsa; Carreras; Correlli; Czerwenka; Domingo; Fischer-Dieskau; Gruberova; Jurinac; Ludwig; Nilsson; Pavarotti; Rysanek; Siepi; Skovhus; Sutherland; Waechter und andere,,1995,J&V 446 961-2,,Beilage zu gleichnamigem Buch (STS-Sig. 13.1: 348(2)),1,,,Beilage zu Publ.
spa:Audio,STS-Audio00000010,CD 009,,"Bad Boy Hindemith? 1: PH: Streichtrio op. 34, 1. Satz; 2. PH: Sonate für Klavier zu vier Händen; 3. WAM: Duo für Violine und Bratsche KV 424; 4. Inteview mit PH; 5. GD: Missa Ave Regina Coelorum, Kyrie","I, V, D","Hindemith, Paul (Mozart, Wolfgang Amadeus; Dufay, Guillaume)",ML: Paul Hindemith (9),"Paul Hindemith, Walter Caspar (1), Rudolf Hindemith (1), Jesus Maria Sanromá (2), Szymon Goldberg (3), Collegium Musicum Of Yale University School Of Music (5)",00 (Div),1995,Wergo WER 3023-2,0:49:00,"Beilage zu Neue Zeitschrift für Musik, Heft 5/95 (STS-Sig. Z3: 12)",1,Z-Beilage,,Beilage zu Publ.
