owl:Class,dct:identifier,spa:accessionNumberPoster,schema:name,schema:author,eclap:director,schema:performer,spa:theaterSeason,eclap:firstPerformanceData,ex:Plakatart,ex:MasseincmHxB,ex:Technik,ex:Grafiker,ex:Drucker,ex:Verso,schema:comment
spa:Audio,STS-Plakat00000001,PL 001.001,Die Unterrichtsstunde. Komisches Drama.,"Ionesco, Eugène",R: Norbert Klassen; BB: Herbert Boss,"Brigitte Bissegger, Johanna Bossert, Norbert Klassen.",1974/75,10.03.1975,Stückplakat,29.7 x 42.0 cm,Siebdruck,Stephan Bundi,,,[1D] 
spa:Audio,STS-Plakat00000002,PL 001.002,Max Maximilian überlebt,"Halter, Claude",R: Claude Halter,"Rico Herold, Yvonne Roth.",1985/86,31.08.1985,Stückplakat,42.0 x 34.0 cm,Offfsetdruck,,,, Video-Theater
spa:Audio,STS-Plakat00000003,PL 001.003,Michel Hermon chante Piaf; Accompagné à l'accordéon par Gérard Barreaux,"Hermon, Michel",Collaboration artistique: Tilly,Michel Hermon,1993/94,15.09.1993,Stückplakat,29.7 x 42.0 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000004,PL 001.004,Vive l'Europe,"Scheerbard, Paul",R: Laurence Calame; BB: Louis Yerly; K: Maritza Gligo; Li: Michel Beuchat; Régisseur général: Thomas Beimowsky,"Neige Dolsky, Marie Probst, Juliana Samarine, Pascal Bongard, Bernard Escalon, Jean-Michel Flagothier",1993/94,23.11.1993,Stückplakat,29.7 x 42.0 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000005,PL 001.005,Soliloque sentimental à l’heure de la promenade des chiens,"Ducos, Dominique",Texte et R: Dominique Ducos; Scénographie et K: Titina Maselli; Li: Rémy Monachon; M: Renato Benvenuto,"Dominique Ducos, Lou Castel, Osvaldo Domini, Diogo Doria, Jacques Probst",1993/94,25.01.1994,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Werner Jeker,,,
spa:Audio,STS-Plakat00000006,PL 001.006,Charcuterie fine,Tilly,"R: Tilly; Assistant: Jean Jenny; BB: Tilly, Jean Corthésy; K: Jeannine Gonzales; Li: Benoît Delhomme","Michèle Gleizer; Juliette Brac, Roland Amstutz, Antoine Régent, Samuel Grilli",1993/94,21.04.1994,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000007,PL 001.007,La Conquête du Pôle sud,"Karge, Manfred",R: Stanislas Nordey; Assistant: Jean-Charles Dumay; BB: Emmanuel Clolus; K: Isabelle Suran; Li: Stéphanie Daniel; Régie générale: Rémi Claude,"Gérard Belliard, Massimo Bellini, Marc Bodnar, Magali Fouchault, Pierre Marello, Laurent Sauvage, Jean-Jacques Simonian, Virginie Volmann",1993/94,28.09.1993,Stückplakat,42.0 x 29.7 cm,Siebdruck,,,,
spa:Audio,STS-Plakat00000008,PL 001.008,Border Line,"Auberson, Pascal; Francioli, Léon; Bourquin, Daniel",,"Pascal Auberson, Léon Francioli, Daniel Bourquin",1993/94,14.10.1993,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000009,PL 001.009,"Contes noirs, thé brûlant","Bolwes, Paul, Hedayat, Sedeq",R u BB u K: Eric Jeanmonod; Li: Jean-Philippe Roy; CH: Rossella Riccaboni; Coordination: Dominique Reichel,"Guillaume Arlaud, Nadia Arlaud, François Berthet, Christine Brotons, Bill Holden, Eric Jeanmonod, François Margot, Riana Rakotoarimanana, Rossella Riccaboni, Sandro Rossetti, Ammar Toumi, Claude Vuillemin",1993/94,12.10.1993,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000010,PL 001.010,(Urfaust) Faust Version Urfaust; Traduction de Roger Pillaudin,"Goethe, Johann Wolfgang von",R: Dominique Pitoiset; Dra: Brigitte Soubeyran; Scénographie: Laurent Peduzzi; Li: Christophe Pitoiset; K: Kattrin Michel; M: André Litolff,"Jean-François Sivadier, Hervé Pierre, Alain Tretout, Nadia Fabrizio, Chantal Neuwirth, Yves Favier",1993/94,26.10.1993,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000011,PL 001.011,La vie au-dessus et au dessous de 1000 mètres; Paroles et musique de Giovanna Marini,"Marini, Giovanna",M u Ltg.: Giovanna Marini,"Patrizia Bovi, Lucilla Galeazzi, Giovanna Marini, Patrizia Nasini",1993/94,02.11.1993,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000012,PL 001.012,John Gabriel Borkman,"Ibsen, Henrik",R: Luc Bondy; BB: Eric Wonder; M: Hans Peter Kuhn; K: Béatrice Leppert; Li: André Diot,"Michel Piccoli, Bulle Ogier, Nada Strancar, Bernard Nissille, Roland Amstutz, Christiane Millet, Christine Vouilloz",1993/94,30.11.1993,Stückplakat,42.0 x 29.7 cm,Siebdruck,Werner Jeker,Serigraphie Albin Uldry,,
