owl:Class,dct:identifier,ex:OrtTheater,schema:relatedLink,schema:organization,schema:location,schema:productionCompany,spa:theaterSeason,eclap:firstPerformanceDate,spa:premiereType,schema:name,schema:genre,schema:author,eclap:director,eclap:performer,spa:numberOfPerformances,schema:comment,spa:programme,ex:Pheftnr,spa:pressClippings,spa:numberOfPhotos,spa:numberOfNegatives,ex:PlakatZSV,ex:PlakatSTS,spa:accessionNumberPoster,ex:Spieltext,ex:SpieltextSignatur,ex:DVDVideo,ex:VideoDVDSignatur,spa:numberOfSetDesignSketches,ex:Kostuementwuerfe,ex:Vereinszeitschriften,ex:Jubilaeumsschriften,ex:StatutenProtokolle,ex:Bemerkungen2
spa:ZSVGesamt,STS-ZSVGesamt00000001,Aarau (AG): Theatertage,,,,,1982,05.06.1982,,Jakob auf der Himmelsleiter,S,"Vitus, Maximilian; B: Arthur Brenner und Otto Thaler",,,,,1,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000002,Aarau (AG): Theatertage,,,,,1977,,,1. Volkstheatertreffen 14./15.5. und 21./22.5.l977,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,1,Rechenschaftsbericht / 
spa:ZSVGesamt,STS-ZSVGesamt00000003,Aarau (AG): Theatertage,,,,,1980,,,Volkstheatertage,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000004,Aarau (AG): Theatertage,,,,,1981,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000005,Aarau (AG): Theatertage,,,,,1982,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000006,Aarau (AG): Theatertage,,,,,1983,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000007,Aarau (AG): Theatertage,,,,,1984,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000008,Aarau (AG): Theatertage,,,,,1985,,,,,00 (Allgemeines),,,,,1,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000009,Aarau (AG): Theatertage,,,,,1986,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000010,Aarau (AG): Theatertage,,,,,1987,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000011,Aarau (AG): Theatertage,,,,,1988,,,,,00 (Allgemeines),,,,,1,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000012,Aarau (AG): Theatertage,,,,,1989,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000013,Aarau (AG): Theatertage,,,,,1990,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000014,Aarau (AG): Theatertage,,,,,1992,,,Theatertage,,00 (Allgemeines),,,,,1,,1,,,,,,,,,,,,,,,zusätzlich Medieninformation
spa:ZSVGesamt,STS-ZSVGesamt00000015,Aarau (AG): Theatertage,,,,,1993,,,,,00 (Allgemeines),,,,,1,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000016,Aarau (AG): Theatertage,,,,,1994,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,zusätzlich Anstreckknopf
spa:ZSVGesamt,STS-ZSVGesamt00000017,Aarau (AG): Theatertage,,,,,1995,,,,,00 (Allgemeines),,,,,,,1,,,,,,,,,,,,,,,zusätzlich Pressecommuniqué
spa:ZSVGesamt,STS-ZSVGesamt00000018,Aarau (AG): Theatertage,,,,,1996,,,,,00 (Allgemeines),,,,,1,,,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000019,Adligenswil (LU): Festpiel,,,,,1991,07.09.1991,,Ein einzig Volk (Festspiel),S,"Scherer, Felix Paul","Scherer, Felix Paul",,,,1,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000020,Adligenswil (LU): Theatergesellschaft,www.theater-adligenswil.ch,RZV,,,1991,27.04.1991,,De Meischterboxer,S,"Schwartz, Otto und Carl Mathern","Bünzli, Oskar",,,,1,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000021,Adligenswil (LU): Theatergesellschaft,www.theater-adligenswil.ch,RZV,,,1992,09.05.1992,,Liebi mit Blächschade,S,"Gnant, Hans",,,,,,,1,,,,,,,,,,,,,,,
spa:ZSVGesamt,STS-ZSVGesamt00000022,Adliswil (ZH): Dramatischer Verein,www.theater-adliswil.ch,RVA,,,0 (1996),,,Festschrift zum 75-Jahre-Jubiläum (1921 - 1996),,00 (Allgemeines),,,,,,,,,,,,,,,,,,,,1,,
